Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity
Benzaldehyde,PRINCEOFORANGE.csv,PRINCEOFORANGE,9.34600893793363,166,9.348,76,51317.19368336991
Dimethyl trisulfide,PRINCEOFORANGE.csv,PRINCEOFORANGE,9.5522,172,9.542,79,199685.7522860056
"Furan, 2-pentyl-",PRINCEOFORANGE.csv,PRINCEOFORANGE,9.99591666666667,188,9.986,43,445276.4507928569
"Cyclotetrasiloxane, octamethyl-",PRINCEOFORANGE.csv,PRINCEOFORANGE,10.1181,193,10.118,191,104329.78916003248
Octanal,PRINCEOFORANGE.csv,PRINCEOFORANGE,10.2209833333333,196,10.218,43,2104772.0661971807
"1-Hexanol, 2-ethyl-",PRINCEOFORANGE.csv,PRINCEOFORANGE,10.7225833333333,210,10.731,70,529971.5246829807
Eucalyptol,PRINCEOFORANGE.csv,PRINCEOFORANGE,10.81905,213,10.821,83,1243136.233801023
Nonanal,PRINCEOFORANGE.csv,PRINCEOFORANGE,12.1019666666667,253,12.102,57,11213860.26361446
Decanal,PRINCEOFORANGE.csv,PRINCEOFORANGE,13.73215,301,13.732,57,3719409.394755061
"Nonanoic acid, 9-oxo-, methyl ester",PRINCEOFORANGE.csv,PRINCEOFORANGE,16.8446166666667,402,16.851,83,725947.6037504073
Benzophenone,PRINCEOFORANGE.csv,PRINCEOFORANGE,19.3300833333333,485,19.336,181,161147.2839392513
Tetradecanoic acid,PRINCEOFORANGE.csv,PRINCEOFORANGE,20.4779666666667,524,20.481,60,1023094.1457984492
"Carbonic acid, bis(2-ethylhexyl) ester",PRINCEOFORANGE.csv,PRINCEOFORANGE,21.0085,543,21.012,261,3174305.661931776
"2-Propanol, 1-chloro-, phosphate (3:1)",PRINCEOFORANGE.csv,PRINCEOFORANGE,21.0438666666667,544,21.053,83,1940024.0123063296
n-Hexadecanoic acid,PRINCEOFORANGE.csv,PRINCEOFORANGE,22.4586333333333,594,22.472,43,648838.922009202
"Butanal, 3-methyl-",SYMFONIA.csv,SYMFONIA,2.88671666666667,32,2.895,44,2667077.0820212555
Pentanal,SYMFONIA.csv,SYMFONIA,3.30793333333333,46,3.315,44,1306244.992160224
"Disulfide, dimethyl",SYMFONIA.csv,SYMFONIA,4.07318333333333,61,4.08,79,669059.275539348
Hexanal,SYMFONIA.csv,SYMFONIA,5.2918,89,5.289,56,3298768.6487721503
"Cyclotrisiloxane, hexamethyl-",SYMFONIA.csv,SYMFONIA,5.8995,96,5.893,207,2222422.9899685346
Benzaldehyde,SYMFONIA.csv,SYMFONIA,9.33993333333333,166,9.348,76,78977.09226067732
Dimethyl trisulfide,SYMFONIA.csv,SYMFONIA,9.55215,172,9.542,79,161487.55416962062
"Furan, 2-pentyl-",SYMFONIA.csv,SYMFONIA,9.99586666666667,188,9.986,43,207445.8140349143
"Cyclotetrasiloxane, octamethyl-",SYMFONIA.csv,SYMFONIA,10.11805,193,10.118,191,131527.33318494025
Octanal,SYMFONIA.csv,SYMFONIA,10.22095,196,10.218,43,1434755.3299765007
"1-Hexanol, 2-ethyl-",SYMFONIA.csv,SYMFONIA,10.7296796400966,210,10.731,70,601493.9666474323
Eucalyptol,SYMFONIA.csv,SYMFONIA,10.819,213,10.821,83,1375221.0848772624
Acetophenone,SYMFONIA.csv,SYMFONIA,11.47815,234,11.478,105,846509.2464725884
Nonanal,SYMFONIA.csv,SYMFONIA,12.1019333333333,253,12.102,57,7881663.69871914
Decanal,SYMFONIA.csv,SYMFONIA,13.7321166666667,301,13.732,57,2156289.27292276
Benzophenone,SYMFONIA.csv,SYMFONIA,19.33005,485,19.336,181,115223.00023492063
"1,3-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",SYMFONIA.csv,SYMFONIA,20.8444833333333,536,20.836,113,1687843.289636372
"Butanal, 3-methyl-",VE 71-105.csv,VE 71-105,2.88985,32,2.895,44,3190893.4712492167
"Cyclotrisiloxane, hexamethyl-",VE 71-105.csv,VE 71-105,5.90104111807478,96,5.893,207,5694697.474844289
Benzaldehyde,VE 71-105.csv,VE 71-105,9.33663333333333,166,9.348,76,141644.64210038583
Dimethyl trisulfide,VE 71-105.csv,VE 71-105,9.54885,172,9.542,79,323736.1367898537
Phenol,VE 71-105.csv,VE 71-105,9.7482,179,9.751,43,173803.18418085677
"Cyclotetrasiloxane, octamethyl-",VE 71-105.csv,VE 71-105,10.1179666666667,193,10.118,191,333939.9247413458
Octanal,VE 71-105.csv,VE 71-105,10.2176333333333,196,10.218,43,3107477.378273432
"1-Hexanol, 2-ethyl-",VE 71-105.csv,VE 71-105,10.72245,210,10.731,70,1463385.0886108696
Eucalyptol,VE 71-105.csv,VE 71-105,10.8189166666667,213,10.821,83,2268158.063563762
Acetophenone,VE 71-105.csv,VE 71-105,11.47485,234,11.478,105,3665121.725217885
Nonanal,VE 71-105.csv,VE 71-105,12.1018333333333,253,12.102,57,17845007.637012742
Benzoic acid,VE 71-105.csv,VE 71-105,13.2947333333333,288,13.292,106,370569.68542260746
Decanal,VE 71-105.csv,VE 71-105,13.7320166666667,301,13.732,57,6305181.120014818
"Nonanoic acid, 9-oxo-, methyl ester",VE 71-105.csv,VE 71-105,16.8444833333333,402,16.851,83,932644.7798207892
Phenylmaleic anhydride,VE 71-105.csv,VE 71-105,18.1692166666667,447,18.182,51,590242.8558980498
Benzophenone,VE 71-105.csv,VE 71-105,19.3331666666667,485,19.336,181,750264.0850596495
Tetradecanoic acid,VE 71-105.csv,VE 71-105,20.50035,525,20.506,73,1662519.9951042917
"Carbonic acid, 2-ethylhexyl octyl ester",VE 71-105.csv,VE 71-105,21.0115833333333,543,21.012,261,12431075.215422688
"2-Propanol, 1-chloro-, phosphate (3:1)",VE 71-105.csv,VE 71-105,21.04695,544,21.053,83,4082832.865471752
"Hexadecanoic acid, methyl ester",VE 71-105.csv,VE 71-105,22.1401833333333,582,22.134,105,3705348.359093747
9-Hexadecenoic acid,VE 71-105.csv,VE 71-105,22.2945166666667,588,22.3,71,198480.4660982481
"Butanal, 3-methyl-",ARIZONA.csv,ARIZONA,2.89318333333333,32,2.895,44,3825388.525553569
"Disulfide, dimethyl",ARIZONA.csv,ARIZONA,4.07965,61,4.08,79,823344.6327644387
Hexanal,ARIZONA.csv,ARIZONA,5.29740469185326,89,5.289,56,2132347.28447954
"Cyclotrisiloxane, hexamethyl-",ARIZONA.csv,ARIZONA,5.90275,96,5.893,207,6277482.174917435
Benzaldehyde,ARIZONA.csv,ARIZONA,9.33829139177429,166,9.348,76,167532.65212711738
Dimethyl trisulfide,ARIZONA.csv,ARIZONA,9.54896666666667,172,9.542,79,265087.7171238397
Phenol,ARIZONA.csv,ARIZONA,9.75153333333333,179,9.751,43,165339.02110682402
"Furan, 2-pentyl-",ARIZONA.csv,ARIZONA,9.9959,188,9.986,43,327068.46448699967
"Cyclotetrasiloxane, octamethyl-",ARIZONA.csv,ARIZONA,10.1180833333333,193,10.118,191,341593.6328796707
Octanal,ARIZONA.csv,ARIZONA,10.21775,196,10.218,43,2768684.408111443
"1-Hexanol, 2-ethyl-",ARIZONA.csv,ARIZONA,10.7225666666667,210,10.731,70,1351144.308244985
Eucalyptol,ARIZONA.csv,ARIZONA,10.8190333333333,213,10.821,83,2134080.596132737
Acetophenone,ARIZONA.csv,ARIZONA,11.47495,234,11.478,105,4131542.751888286
Nonanal,ARIZONA.csv,ARIZONA,12.10195,253,12.102,57,13369009.18360675
Benzoic acid,ARIZONA.csv,ARIZONA,13.3141333333333,289,13.321,60,165795.15575240194
Decanal,ARIZONA.csv,ARIZONA,13.7321333333333,301,13.732,57,6305523.156872383
"Nonanoic acid, 9-oxo-, methyl ester",ARIZONA.csv,ARIZONA,16.8446,402,16.851,83,625975.5900950033
Phenylmaleic anhydride,ARIZONA.csv,ARIZONA,18.1693333333333,447,18.182,51,441834.4521473285
Diethyl Phthalate,ARIZONA.csv,ARIZONA,18.8349,468,18.822,65,1399254.3776610554
Benzophenone,ARIZONA.csv,ARIZONA,19.3300666666667,485,19.336,181,349342.9001886734
Tetradecanoic acid,ARIZONA.csv,ARIZONA,20.4811666666667,524,20.481,60,1193346.8292041218
"Carbonic acid, 2-ethylhexyl octyl ester",ARIZONA.csv,ARIZONA,21.0084833333333,543,21.012,261,4953335.016024851
"2-Propanol, 1-chloro-, phosphate (3:1)",ARIZONA.csv,ARIZONA,21.04385,544,21.053,83,2052794.054513524
10-Methylanthracene-9-carboxaldehyde,ARIZONA.csv,ARIZONA,21.4682833333333,560,21.463,191,1497534.2364248815
n-Hexadecanoic acid,ARIZONA.csv,ARIZONA,22.4554,593,22.444,57,463463.6037907623
.beta.-Phenylpropiolophenone,ARIZONA.csv,ARIZONA,22.6193833333333,600,22.619,178,1348393.1724980888
"Furan, 2,5-diphenyl-",ARIZONA.csv,ARIZONA,23.4135666666667,625,23.408,77,472416.1109299274
"Disulfide, dimethyl",DIAMANT.csv,DIAMANT,4.0733,61,4.08,79,735989.3036697642
"Cyclotrisiloxane, hexamethyl-",DIAMANT.csv,DIAMANT,5.89963333333333,96,5.893,207,7915473.21979827
Benzaldehyde,DIAMANT.csv,DIAMANT,9.33363333333333,165,9.322,85,15264.663584898972
Dimethyl trisulfide,DIAMANT.csv,DIAMANT,9.54905,172,9.542,79,228265.23296740372
"Furan, 2-pentyl-",DIAMANT.csv,DIAMANT,9.99598333333333,188,9.986,43,325195.7585416217
"Cyclotetrasiloxane, octamethyl-",DIAMANT.csv,DIAMANT,10.1181666666667,193,10.118,191,392363.3317656575
Octanal,DIAMANT.csv,DIAMANT,10.21785,196,10.218,43,3595516.8139098478
"1-Hexanol, 2-ethyl-",DIAMANT.csv,DIAMANT,10.7251817367025,210,10.731,70,1148490.4419074364
Eucalyptol,DIAMANT.csv,DIAMANT,10.8191166666667,213,10.821,83,2063345.443044656
Acetophenone,DIAMANT.csv,DIAMANT,11.4718333333333,234,11.478,105,3626165.964162607
Nonanal,DIAMANT.csv,DIAMANT,12.10205,253,12.102,57,17773519.331448838
Benzoic acid,DIAMANT.csv,DIAMANT,13.266,287,13.269,76,179483.11024646598
Decanal,DIAMANT.csv,DIAMANT,13.7322333333333,301,13.732,57,5049558.856868086
"Nonanoic acid, 9-oxo-, methyl ester",DIAMANT.csv,DIAMANT,16.8447,402,16.851,83,748603.9478879704
Phenylmaleic anhydride,DIAMANT.csv,DIAMANT,18.1694166666667,447,18.182,51,448570.8334936828
Benzophenone,DIAMANT.csv,DIAMANT,19.3301666666667,485,19.336,181,293869.9671552659
Tetradecanoic acid,DIAMANT.csv,DIAMANT,20.50055,525,20.506,73,1532569.2861603685
"1,3-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",DIAMANT.csv,DIAMANT,20.79315,534,20.785,70,339337.8948711125
"Carbonic acid, 2-ethylhexyl octyl ester",DIAMANT.csv,DIAMANT,21.0085833333333,543,21.012,261,9752211.36897152
"2-Propanol, 1-chloro-, phosphate (3:1)",DIAMANT.csv,DIAMANT,21.0471666666667,544,21.053,83,3503825.207560279
Pentadecanoic acid,DIAMANT.csv,DIAMANT,21.4941,561,21.485,57,923456.7693804974
Palmitoleic acid,DIAMANT.csv,DIAMANT,22.2979333333333,588,22.3,71,209136.65544818167
n-Hexadecanoic acid,DIAMANT.csv,DIAMANT,22.4715666666667,594,22.472,43,778515.8152173181
Isopropyl Alcohol,AVENGER.csv,AVENGER,2.16663333333333,9,2.157,56,82403.105888661
"Cyclotrisiloxane, hexamethyl-",AVENGER.csv,AVENGER,5.90286666666667,96,5.893,207,3582492.994165007
Benzaldehyde,AVENGER.csv,AVENGER,9.33686666666667,166,9.348,76,80107.66082568857
Phenol,AVENGER.csv,AVENGER,9.75486666666667,179,9.751,43,126207.1903203717
"Cyclotetrasiloxane, octamethyl-",AVENGER.csv,AVENGER,10.1182,193,10.118,191,174727.78624963292
Octanal,AVENGER.csv,AVENGER,10.2206973574432,196,10.218,43,2219151.4807359898
"1-Hexanol, 2-ethyl-",AVENGER.csv,AVENGER,10.7226833333333,210,10.731,70,1774053.8778307235
Eucalyptol,AVENGER.csv,AVENGER,10.81915,213,10.821,83,3910909.4261559225
Acetophenone,AVENGER.csv,AVENGER,11.4783,234,11.478,105,1305980.7409886096
Nonanal,AVENGER.csv,AVENGER,12.1020666666667,253,12.102,57,11315501.293694066
Decanal,AVENGER.csv,AVENGER,13.73225,301,13.732,57,2977963.422798682
Benzophenone,AVENGER.csv,AVENGER,19.3301833333333,485,19.336,181,269461.2344493614
"Carbonic acid, 2-ethylhexyl octyl ester",AVENGER.csv,AVENGER,21.0118166666667,543,21.012,261,2480546.71479757
"2-Propanol, 1-chloro-, phosphate (3:1)",AVENGER.csv,AVENGER,21.0439666666667,544,21.053,83,1686828.7223800302
Propene,CARRERA.csv,CARRERA,1.99931666666667,3,1.987,37,223090.35704240043
"Butanal, 3-methyl-",CARRERA.csv,CARRERA,2.89318333333333,32,2.895,44,3385131.464591263
"Cyclotrisiloxane, hexamethyl-",CARRERA.csv,CARRERA,5.901403968243,96,5.893,207,10221237.2130667
Styrene,CARRERA.csv,CARRERA,7.70638975110755,125,7.703,77,491014.8161019193
Heptanal,CARRERA.csv,CARRERA,7.95606385847193,132,7.959,70,1280617.839341198
Benzaldehyde,CARRERA.csv,CARRERA,9.33675,166,9.348,76,146794.6245088714
Dimethyl trisulfide,CARRERA.csv,CARRERA,9.54896666666667,172,9.542,79,522543.58904709714
Phenol,CARRERA.csv,CARRERA,9.75153333333333,179,9.751,43,191439.88202828917
"Cyclotetrasiloxane, octamethyl-",CARRERA.csv,CARRERA,10.1180833333333,193,10.118,191,434605.9071513331
Octanal,CARRERA.csv,CARRERA,10.21775,196,10.218,43,4445765.877244062
"1-Hexanol, 2-ethyl-",CARRERA.csv,CARRERA,10.7257833333333,210,10.731,70,2629108.5114880227
Eucalyptol,CARRERA.csv,CARRERA,10.8190333333333,213,10.821,83,5897468.7228368325
Nonanal,CARRERA.csv,CARRERA,12.1051666666667,253,12.102,57,19280504.639314525
Decanal,CARRERA.csv,CARRERA,13.7289166666667,301,13.732,57,5549715.64364851
"Nonanoic acid, 9-oxo-, methyl ester",CARRERA.csv,CARRERA,16.8446,402,16.851,83,862499.7987322295
Dimethyl phthalate,CARRERA.csv,CARRERA,17.1822166666667,415,17.185,57,409971.8209809413
Benzophenone,CARRERA.csv,CARRERA,19.3300666666667,485,19.336,181,512564.0193945669
"Carbonic acid, 2-ethylhexyl octyl ester",CARRERA.csv,CARRERA,21.0084833333333,543,21.012,261,3853952.527295759
"2-Propanol, 1-chloro-, phosphate (3:1)",CARRERA.csv,CARRERA,21.04385,544,21.053,83,2301020.0173219866
Pentanal,EVEREST.csv,EVEREST,3.3113,46,3.315,44,2730745.4205290424
"Disulfide, dimethyl",EVEREST.csv,EVEREST,4.08187426166388,61,4.08,79,614566.1288717695
Hexanal,EVEREST.csv,EVEREST,5.29493095921073,89,5.289,56,9251999.28654753
"Cyclotrisiloxane, hexamethyl-",EVEREST.csv,EVEREST,5.90163541155894,96,5.893,207,6463383.418919039
Benzaldehyde,EVEREST.csv,EVEREST,9.33688333333333,166,9.348,76,180995.00593193976
Dimethyl trisulfide,EVEREST.csv,EVEREST,9.5491,172,9.542,79,243413.3062068744
"Furan, 2-pentyl-",EVEREST.csv,EVEREST,9.99603333333333,188,9.986,43,699239.8577347948
"Cyclotetrasiloxane, octamethyl-",EVEREST.csv,EVEREST,10.1182166666667,193,10.118,191,411783.0893543731
Octanal,EVEREST.csv,EVEREST,10.2211,196,10.218,43,2706092.9116333616
"1-Hexanol, 2-ethyl-",EVEREST.csv,EVEREST,10.7348671256124,210,10.731,70,997387.9420291984
Eucalyptol,EVEREST.csv,EVEREST,10.8191666666667,213,10.821,83,2603451.301606724
Acetophenone,EVEREST.csv,EVEREST,11.4751,234,11.478,105,3454042.405666602
Nonanal,EVEREST.csv,EVEREST,12.1020833333333,253,12.102,57,13338020.427739749
Benzoic acid,EVEREST.csv,EVEREST,13.2371,286,13.243,78,181932.68473227663
Decanal,EVEREST.csv,EVEREST,13.7322666666667,301,13.732,57,5283449.301148434
"Nonanoic acid, 9-oxo-, methyl ester",EVEREST.csv,EVEREST,16.8447333333333,402,16.851,83,1235686.3438050402
Phenylmaleic anhydride,EVEREST.csv,EVEREST,18.16625,447,18.182,51,457225.4037653898
Benzophenone,EVEREST.csv,EVEREST,19.3302,485,19.336,181,387421.2164470437
Tetradecanoic acid,EVEREST.csv,EVEREST,20.4780833333333,524,20.481,60,1364500.3022994674
"2-Propanol, 1-chloro-, phosphate (3:1)",EVEREST.csv,EVEREST,21.0439833333333,544,21.053,83,2699507.8289492857
"Furan, 2,5-diphenyl-",EVEREST.csv,EVEREST,23.4137,625,23.408,77,370478.5823114868
"Butanal, 3-methyl-",EVORA.csv,EVORA,2.8960097181148,32,2.895,44,3434770.9941576743
"Disulfide, dimethyl",EVORA.csv,EVORA,4.08120939487863,61,4.08,79,934075.9783621718
"Cyclotrisiloxane, hexamethyl-",EVORA.csv,EVORA,5.90275,96,5.893,207,4978418.456817037
Benzaldehyde,EVORA.csv,EVORA,9.33799735234731,166,9.348,76,148039.6751449257
Dimethyl trisulfide,EVORA.csv,EVORA,9.54896666666667,172,9.542,79,383137.0101978315
"Cyclotetrasiloxane, octamethyl-",EVORA.csv,EVORA,10.1180833333333,193,10.118,191,344617.0550333303
Octanal,EVORA.csv,EVORA,10.2209666666667,196,10.218,43,2214623.2056224374
"1-Hexanol, 2-ethyl-",EVORA.csv,EVORA,10.7342711910049,210,10.731,70,1204451.9293162436
Eucalyptol,EVORA.csv,EVORA,10.8190166666667,213,10.821,83,2892432.1311268965
Acetophenone,EVORA.csv,EVORA,11.4717333333333,234,11.478,105,3524050.6415297803
Nonanal,EVORA.csv,EVORA,12.10195,253,12.102,57,12181438.063798243
Benzoic acid,EVORA.csv,EVORA,13.2659166666667,287,13.269,76,185927.1522320434
Decanal,EVORA.csv,EVORA,13.7321333333333,301,13.732,57,4575543.22751433
"Nonanoic acid, 9-oxo-, methyl ester",EVORA.csv,EVORA,16.8446,402,16.851,83,1149161.1038417732
Phenylmaleic anhydride,EVORA.csv,EVORA,18.1693166666667,447,18.182,51,503030.1932341358
Benzophenone,EVORA.csv,EVORA,19.3300666666667,485,19.336,181,457491.7716625431
"Carbonic acid, 2-ethylhexyl octyl ester",EVORA.csv,EVORA,21.0084833333333,543,21.012,261,3712990.382924116
"2-Propanol, 1-chloro-, phosphate (3:1)",EVORA.csv,EVORA,21.04385,544,21.053,83,1903371.2521356584
Benzene,FENWAY RED.csv,FENWAY RED,2.97685,35,2.98,78,6045169.251482179
Hexanal,FENWAY RED.csv,FENWAY RED,5.29191666666667,89,5.289,56,2806276.7546730894
"Cyclotrisiloxane, hexamethyl-",FENWAY RED.csv,FENWAY RED,5.89961666666667,96,5.893,207,13890430.69764854
Benzaldehyde,FENWAY RED.csv,FENWAY RED,9.33683333333333,166,9.348,76,233177.7312419058
"Furan, 2-pentyl-",FENWAY RED.csv,FENWAY RED,9.99598333333333,188,9.986,43,610687.185651208
"Cyclotetrasiloxane, octamethyl-",FENWAY RED.csv,FENWAY RED,10.1181666666667,193,10.118,191,599302.7984994574
Octanal,FENWAY RED.csv,FENWAY RED,10.2178333333333,196,10.218,43,3234921.8174895397
"1-Hexanol, 2-ethyl-",FENWAY RED.csv,FENWAY RED,10.7258666666667,210,10.731,70,1208044.957943441
Eucalyptol,FENWAY RED.csv,FENWAY RED,10.8191,213,10.821,83,2574457.832665391
Acetophenone,FENWAY RED.csv,FENWAY RED,11.4750333333333,234,11.478,105,3384079.684985722
Nonanal,FENWAY RED.csv,FENWAY RED,12.1020333333333,253,12.102,57,15539094.999323042
Decanal,FENWAY RED.csv,FENWAY RED,13.7322166666667,301,13.732,57,8207201.690917878
Dodecanal,FENWAY RED.csv,FENWAY RED,16.5295833333333,391,16.533,57,1440858.7535050386
"Nonanoic acid, 9-oxo-, methyl ester",FENWAY RED.csv,FENWAY RED,16.8446833333333,402,16.851,83,1183763.79738536
Phenylmaleic anhydride,FENWAY RED.csv,FENWAY RED,18.1694166666667,447,18.182,51,498458.3106651479
Benzophenone,FENWAY RED.csv,FENWAY RED,19.33015,485,19.336,181,401544.24256619887
"Carbonic acid, 2-ethylhexyl octyl ester",FENWAY RED.csv,FENWAY RED,21.0085666666667,543,21.012,261,4794780.047463541
"2-Propanol, 1-chloro-, phosphate (3:1)",FENWAY RED.csv,FENWAY RED,21.0439333333333,544,21.053,83,3063540.3485521306
Propene,LADY CLAIRE.csv,LADY CLAIRE,1.99918333333333,3,1.987,37,81036.60742484355
"2-Propanone, 1-methoxy-",LADY CLAIRE.csv,LADY CLAIRE,2.17281666666667,10,2.183,45,10906495.244460642
Acetic acid,LADY CLAIRE.csv,LADY CLAIRE,2.46541666666667,21,2.473,43,3256589.640836526
"Butanal, 3-methyl-",LADY CLAIRE.csv,LADY CLAIRE,2.89305,32,2.895,44,1845931.113743806
"Propane, 2-chloro-2-methyl-",LADY CLAIRE.csv,LADY CLAIRE,2.97665,35,2.98,78,4048841.858254925
"Heptane, 2,5-dimethyl-",LADY CLAIRE.csv,LADY CLAIRE,3.20173333333333,42,3.201,57,266750.90842306067
Pentanal,LADY CLAIRE.csv,LADY CLAIRE,3.31426666666667,46,3.315,44,391713.1893094314
"2-Propenoic acid, 1,4-butanediyl ester",LADY CLAIRE.csv,LADY CLAIRE,3.69368333333333,53,3.699,56,11699.27822066542
"3-Penten-2-one, (E)-",LADY CLAIRE.csv,LADY CLAIRE,3.93483333333333,56,3.915,45,215694.1086979319
"Disulfide, dimethyl",LADY CLAIRE.csv,LADY CLAIRE,4.0763,61,4.08,79,614703.2582039232
"Silane, triethylmethoxy-",LADY CLAIRE.csv,LADY CLAIRE,4.24993333333333,67,4.253,67,71855.41415622391
3-Benzylsulfanyl-3-fluoro-2-trifluoromethyl-acrylonitrile,LADY CLAIRE.csv,LADY CLAIRE,4.5136,70,4.51,91,160826.9949415637
Butanoic acid,LADY CLAIRE.csv,LADY CLAIRE,4.77725,75,4.742,88,7410.144408184973
2-Ethylhexyl acrylate,LADY CLAIRE.csv,LADY CLAIRE,5.06341666666667,83,5.07,55,24938.997245358816
Hexanal,LADY CLAIRE.csv,LADY CLAIRE,5.29491666666667,89,5.289,56,1180927.013557156
"Cyclotrisiloxane, hexamethyl-",LADY CLAIRE.csv,LADY CLAIRE,5.90230230994024,96,5.893,207,8138556.913865971
Furfural,LADY CLAIRE.csv,LADY CLAIRE,6.21773333333333,98,6.221,39,37059.12295803187
tert-Hexadecanethiol,LADY CLAIRE.csv,LADY CLAIRE,6.41708333333333,103,6.418,60,16982.13911590606
Tetraacetyl-d-xylonic nitrile,LADY CLAIRE.csv,LADY CLAIRE,6.5682,105,6.56,77,11678.15381855183
7-Methyl-Z-tetradecen-1-ol acetate,LADY CLAIRE.csv,LADY CLAIRE,6.8383,109,6.828,63,27679.008236175912
Ethylbenzene,LADY CLAIRE.csv,LADY CLAIRE,6.97655,111,6.96,91,103122.1698346032
o-Xylene,LADY CLAIRE.csv,LADY CLAIRE,7.16946666666667,115,7.167,91,149580.01118291923
Pentanoic acid,LADY CLAIRE.csv,LADY CLAIRE,7.42348333333333,118,7.39,102,33870.21842230095
"2,6-Nonadienoic acid, 7-ethyl-9-(3-ethyl-3-methyloxiranyl)-3-methyl-, methyl ester, [2R-[2.alpha.(2E,6E),3.alpha.]]-",LADY CLAIRE.csv,LADY CLAIRE,7.59711666666667,123,7.603,57,56482.13051805778
Styrene,LADY CLAIRE.csv,LADY CLAIRE,7.7075234453746,125,7.703,77,297776.4938439767
Heptanal,LADY CLAIRE.csv,LADY CLAIRE,7.95723333333333,132,7.959,70,747239.5174314391
Methional,LADY CLAIRE.csv,LADY CLAIRE,8.0762,133,8.094,109,4161.387399798898
"Cyclohexanecarboxylic acid, 2-bromomethyl-2,3-dimethyl-4-oxo-",LADY CLAIRE.csv,LADY CLAIRE,8.23055,136,8.234,41,28892.78117428602
"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",LADY CLAIRE.csv,LADY CLAIRE,8.745,148,8.741,93,202361.09023056988
"Pyran-4-carboxylic acid, 4-(4-methoxyphenyl)-tetrahydro-",LADY CLAIRE.csv,LADY CLAIRE,9.06653333333333,156,9.061,191,67027.60808984686
"4,6-Octadienamide-3-oxo, N1,N1-diethyl",LADY CLAIRE.csv,LADY CLAIRE,9.21123333333333,161,9.196,72,242696.3756996297
Benzaldehyde,LADY CLAIRE.csv,LADY CLAIRE,9.33661666666667,166,9.348,76,137914.9402991096
Dimethyl trisulfide,LADY CLAIRE.csv,LADY CLAIRE,9.54883333333333,172,9.542,79,207571.7760852559
"Cyclododecanone, thiosemicarbazone",LADY CLAIRE.csv,LADY CLAIRE,9.70638333333333,178,9.713,55,240986.1793118505
Phenol,LADY CLAIRE.csv,LADY CLAIRE,9.7514,179,9.751,43,116647.06828783016
"5-Hepten-2-one, 6-methyl-",LADY CLAIRE.csv,LADY CLAIRE,9.8961,185,9.902,81,802904.9575510162
"Furan, 2-pentyl-",LADY CLAIRE.csv,LADY CLAIRE,9.99576666666667,188,9.986,43,325078.0232089509
"Benzene, 1,2,4-trimethyl-",LADY CLAIRE.csv,LADY CLAIRE,10.0568666666667,191,10.06,105,146483.52590643513
"Cyclotetrasiloxane, octamethyl-",LADY CLAIRE.csv,LADY CLAIRE,10.11795,193,10.118,191,291860.7810687494
Octanal,LADY CLAIRE.csv,LADY CLAIRE,10.2176333333333,196,10.218,43,2699071.7797043626
"9-Octadecenoic acid (Z)-, hexyl ester",LADY CLAIRE.csv,LADY CLAIRE,10.4234166666667,201,10.423,73,42400.07595908491
"Cyclopentanecarbonitrile, 3-methylene-",LADY CLAIRE.csv,LADY CLAIRE,10.5520333333333,204,10.551,107,33220.64305730805
"1-Hexanol, 2-ethyl-",LADY CLAIRE.csv,LADY CLAIRE,10.72245,210,10.731,70,1235899.74932409
Eucalyptol,LADY CLAIRE.csv,LADY CLAIRE,10.8189,213,10.821,83,2777185.417803314
"Spiro[cyclohexanone-3,6'-hexahydropyridin-2-one]",LADY CLAIRE.csv,LADY CLAIRE,10.9828833333333,219,10.987,83,38499.10303544171
"Benzene, (methoxymethyl)-",LADY CLAIRE.csv,LADY CLAIRE,11.0504,221,11.051,91,520164.5172782306
"2(3H)-Furanone, 5-butyldihydro-",LADY CLAIRE.csv,LADY CLAIRE,11.2304666666667,227,11.234,85,150849.23567657737
"1,5,9-Cyclododecanetriol",LADY CLAIRE.csv,LADY CLAIRE,11.2787,229,11.282,70,155381.30011336418
"Octane, 1-chloro-",LADY CLAIRE.csv,LADY CLAIRE,11.35265,230,11.337,91,123225.55917937116
"Acetic acid, 3-acetoxy-5-oxodecyl ester",LADY CLAIRE.csv,LADY CLAIRE,11.3783666666667,231,11.375,82,136819.11193946702
Acetophenone,LADY CLAIRE.csv,LADY CLAIRE,11.4748333333333,234,11.478,105,1404874.7220141287
"Benzeneacetic acid, .alpha.-oxo-, ethyl ester",LADY CLAIRE.csv,LADY CLAIRE,11.5809333333333,238,11.585,105,115251.0973814904
"1-Dodecanol, 3,7,11-trimethyl-",LADY CLAIRE.csv,LADY CLAIRE,11.6741833333333,241,11.672,180,113506.57384027612
"1,2,3-Triazole-4-carbohydrazide, N2-(4-hydroxybenzylidene)-5-chloro-",LADY CLAIRE.csv,LADY CLAIRE,11.8092333333333,244,11.805,121,64760.25559632128
"2H-Benzo[f]oxireno[2,3-E]benzofuran-8(9H)-one, 9-[[[2-(dimethylamino)ethyl]amino]methyl]octahydro-2,5a-dimethyl-",LADY CLAIRE.csv,LADY CLAIRE,11.8896166666667,247,11.886,58,156038.79712914952
