Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity
Heptanal,CAMEL.csv,CAMEL,7.93811666666667,131,7.933,56,21838.122537291936
Benzaldehyde,CAMEL.csv,CAMEL,9.3175,165,9.322,85,14181.934283515937
Dimethyl trisulfide,CAMEL.csv,CAMEL,9.52615132960155,172,9.542,79,364277.0911333961
Phenol,CAMEL.csv,CAMEL,9.76193233643763,180,9.767,60,48547.66095893358
"Cyclotetrasiloxane, octamethyl-",CAMEL.csv,CAMEL,10.0924,192,10.089,281,5502149.33693149
Octanal,CAMEL.csv,CAMEL,10.1953,195,10.179,59,54688.43902520447
"1-Hexanol, 2-ethyl-",CAMEL.csv,CAMEL,10.6969,209,10.699,92,16406.109382355204
Nonanal,CAMEL.csv,CAMEL,12.0795,253,12.102,57,14531603.968673317
Dodecane,CAMEL.csv,CAMEL,13.59715,297,13.587,59,82587.11975156252
Decanal,CAMEL.csv,CAMEL,13.7064666666667,300,13.703,120,30974.317442355503
Tridecane,CAMEL.csv,CAMEL,15.0408333333333,343,15.031,55,138537.20234090323
Tetradecane,CAMEL.csv,CAMEL,16.36235,386,16.349,58,230108.79586090497
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",CAMEL.csv,CAMEL,16.5874166666667,393,16.591,84,62770.16390057491
Pentadecane,CAMEL.csv,CAMEL,17.5906166666667,429,17.574,281,2383127.6462119306
E-15-Heptadecenal,CAMEL.csv,CAMEL,18.6709666666667,463,18.668,135,11124.040616104288
Hexadecane,CAMEL.csv,CAMEL,18.75135,465,18.726,169,75169.73182050849
Benzophenone,CAMEL.csv,CAMEL,19.31405,484,19.314,57,142543.3554293557
"2-Propanone, 1-methoxy-",CHOPIN.csv,CHOPIN,2.19512636665457,10,2.183,45,14569228.070960952
"Butanal, 3-methyl-",CHOPIN.csv,CHOPIN,2.89645,32,2.895,44,5004080.434853157
"Disulfide, dimethyl",CHOPIN.csv,CHOPIN,4.06685,61,4.08,79,932469.5549359756
Hexanal,CHOPIN.csv,CHOPIN,5.27903333333333,89,5.289,56,1427352.6238282688
"Cyclotrisiloxane, hexamethyl-",CHOPIN.csv,CHOPIN,5.88351666666667,96,5.893,207,8645972.366726423
Styrene,CHOPIN.csv,CHOPIN,7.6809,125,7.703,77,240038.90318350616
Heptanal,CHOPIN.csv,CHOPIN,7.9317,131,7.933,56,18405.99339769761
Benzaldehyde,CHOPIN.csv,CHOPIN,9.32181529811492,165,9.322,85,4218.812408422568
Dimethyl trisulfide,CHOPIN.csv,CHOPIN,9.52304469214157,172,9.542,79,410968.9947824182
Phenol,CHOPIN.csv,CHOPIN,9.74195,179,9.751,43,21441.406358808657
"5-Hepten-2-one, 6-methyl-",CHOPIN.csv,CHOPIN,9.87055,184,9.883,94,989585.851135344
"Furan, 2-pentyl-",CHOPIN.csv,CHOPIN,9.97023333333333,188,9.986,43,150029.39077294528
"Cyclotetrasiloxane, octamethyl-",CHOPIN.csv,CHOPIN,10.0924166666667,192,10.089,281,4548170.407038062
Octanal,CHOPIN.csv,CHOPIN,10.1921,195,10.179,59,27338.48344334798
"1-Hexanol, 2-ethyl-",CHOPIN.csv,CHOPIN,10.6936833333333,209,10.699,92,12453.53819756215
Nonanal,CHOPIN.csv,CHOPIN,12.0795,253,12.102,57,15630280.380273046
Dodecane,CHOPIN.csv,CHOPIN,13.59715,297,13.587,59,52971.628699891226
Decanal,CHOPIN.csv,CHOPIN,13.7064833333333,300,13.703,120,15356.043681242569
Tridecane,CHOPIN.csv,CHOPIN,15.0376333333333,343,15.031,55,109145.80470768192
Tetradecane,CHOPIN.csv,CHOPIN,16.36235,386,16.349,58,149247.17489015043
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",CHOPIN.csv,CHOPIN,16.5874333333333,393,16.591,84,51284.67285354517
1-Nonadecene,CHOPIN.csv,CHOPIN,18.6709833333333,463,18.668,135,10637.13600601017
Hexadecane,CHOPIN.csv,CHOPIN,18.7513666666667,465,18.726,169,59001.61326186122
Benzophenone,CHOPIN.csv,CHOPIN,19.3108333333333,484,19.314,57,93896.05612540676
"Carbonic acid, bis(2-ethylhexyl) ester",CHOPIN.csv,CHOPIN,21.00855,543,21.012,261,1044293.8915327284
Propene,FELSINA.csv,FELSINA,2.01332051450488,4,2.012,64,2174962.8620285518
"2-Propanone, 1-methoxy-",FELSINA.csv,FELSINA,2.19652489391002,11,2.208,53,543270.1857688136
Pentanal,FELSINA.csv,FELSINA,3.31448333333333,46,3.315,44,2887736.08396034
"Disulfide, dimethyl",FELSINA.csv,FELSINA,4.06984627560436,61,4.08,79,1179724.3336403137
Hexanal,FELSINA.csv,FELSINA,5.2855,89,5.289,56,12585599.868033491
"Cyclotrisiloxane, hexamethyl-",FELSINA.csv,FELSINA,5.88355,96,5.893,207,5995277.084665298
Heptanal,FELSINA.csv,FELSINA,7.93495,131,7.933,56,10010.642921497489
Benzaldehyde,FELSINA.csv,FELSINA,9.31111666666667,165,9.322,85,6661.95658164975
Phenol,FELSINA.csv,FELSINA,9.73876666666667,179,9.751,43,55486.69823517885
"Furan, 2-pentyl-",FELSINA.csv,FELSINA,9.97026666666667,188,9.986,43,238801.29118781752
"Cyclotetrasiloxane, octamethyl-",FELSINA.csv,FELSINA,10.09245,192,10.089,281,3972466.792096837
Octanal,FELSINA.csv,FELSINA,10.1921333333333,195,10.179,59,28847.950025837228
"1-Hexanol, 2-ethyl-",FELSINA.csv,FELSINA,10.6992654344065,209,10.699,92,13735.841373965295
"2-Octenal, (E)-",FELSINA.csv,FELSINA,11.2596333333333,228,11.26,57,115239.92766214324
Acetophenone,FELSINA.csv,FELSINA,11.45255,233,11.452,69,45185.96009009739
Nonanal,FELSINA.csv,FELSINA,12.0763333333333,253,12.102,57,11341160.568593904
Dodecane,FELSINA.csv,FELSINA,13.5939833333333,297,13.587,59,59852.72443325779
Decanal,FELSINA.csv,FELSINA,13.7065166666667,300,13.703,120,15207.473726399909
Tridecane,FELSINA.csv,FELSINA,15.0376666666667,343,15.031,55,111452.78023319304
Tetradecane,FELSINA.csv,FELSINA,16.3624,386,16.349,58,150847.5110221971
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",FELSINA.csv,FELSINA,16.5874666666667,393,16.591,84,47779.55723882221
"Nonanoic acid, 9-oxo-, methyl ester",FELSINA.csv,FELSINA,16.8222,401,16.825,105,15361.65784564472
"Octane, 1,1'-oxybis-",FELSINA.csv,FELSINA,17.69355,433,17.713,57,1485580.1969725522
1-Octadecanol,FELSINA.csv,FELSINA,18.6710166666667,463,18.668,135,8350.410351772354
Hexadecane,FELSINA.csv,FELSINA,18.7514,465,18.726,169,57692.08179794803
Benzophenone,FELSINA.csv,FELSINA,19.3108833333333,484,19.314,57,100829.9074104038
Eicosane,FELSINA.csv,FELSINA,22.7995333333333,607,22.808,57,555546.6879967699
Propene,INNOVATOR.csv,INNOVATOR,2.01531666666667,4,2.012,64,1822964.9398426584
"2-Propanone, 1-methoxy-",INNOVATOR.csv,INNOVATOR,2.20114075593465,11,2.208,53,749234.4453254156
"Propanal, 2-methyl-",INNOVATOR.csv,INNOVATOR,2.35936666666667,17,2.36,72,1554827.659156286
Acetic acid ethenyl ester,INNOVATOR.csv,INNOVATOR,2.45903333333333,20,2.447,40,35781.96431331697
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,2.89953333333333,32,2.895,44,2622110.3838739144
"Propane, 2-chloro-2-methyl-",INNOVATOR.csv,INNOVATOR,2.98313333333333,35,2.98,78,4039374.3219340793
"Cyclohexane, octyl-",INNOVATOR.csv,INNOVATOR,3.15998333333333,40,3.143,86,3627.349837571408
"2,3-Pentanedione",INNOVATOR.csv,INNOVATOR,3.20821666666667,42,3.201,57,48751.29613871125
"2,3-Pentanedione",INNOVATOR.csv,INNOVATOR,3.28216666666667,45,3.286,57,108609.3223155609
"1,6-Diaminohexane-N,N,N',N'-tetraacetic acid",INNOVATOR.csv,INNOVATOR,3.31753333333333,46,3.315,44,438266.346573696
"2-Pentanol, 4-methyl-",INNOVATOR.csv,INNOVATOR,3.90595,56,3.915,45,89970.51983069198
"Disulfide, dimethyl",INNOVATOR.csv,INNOVATOR,4.06993333333333,61,4.08,79,725772.6943227616
"Silane, triethylmethoxy-",INNOVATOR.csv,INNOVATOR,4.24998333333333,67,4.253,67,31457.461398698084
Toluene,INNOVATOR.csv,INNOVATOR,4.50721666666667,70,4.51,91,154753.82902765245
2-Ethylhexyl acrylate,INNOVATOR.csv,INNOVATOR,5.05705,83,5.07,55,15585.867395092811
Hexanal,INNOVATOR.csv,INNOVATOR,5.28533333333333,89,5.289,56,1400871.3177080057
"Cyclotrisiloxane, hexamethyl-",INNOVATOR.csv,INNOVATOR,5.8866,96,5.893,207,8481260.479945466
Furfural,INNOVATOR.csv,INNOVATOR,6.20490173251373,98,6.221,39,59684.38021374173
"2,4-Dimethyl-1-heptene",INNOVATOR.csv,INNOVATOR,6.39785,102,6.405,70,21631.956869250116
"3-Chloropropionic acid, pentadecyl ester",INNOVATOR.csv,INNOVATOR,6.81263333333333,109,6.828,63,33699.074306790935
"Octane, 4-methyl-",INNOVATOR.csv,INNOVATOR,6.98625,112,7.002,85,41573.26176127483
o-Xylene,INNOVATOR.csv,INNOVATOR,7.14701666666667,115,7.167,91,111364.69619451476
"8-Hydroxy-2,2-dimethyl-dec-5-en-3-one",INNOVATOR.csv,INNOVATOR,7.58431666666667,122,7.574,41,12673.85907380326
Styrene,INNOVATOR.csv,INNOVATOR,7.68398333333333,125,7.703,77,252723.4515605424
Heptanal,INNOVATOR.csv,INNOVATOR,7.93478333333333,131,7.933,56,19049.228953403985
Methional,INNOVATOR.csv,INNOVATOR,8.05053333333333,133,8.094,109,3812.526556066033
"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",INNOVATOR.csv,INNOVATOR,8.72255,148,8.741,93,145871.61191760376
"Pyran-4-carboxylic acid, 4-(4-methoxyphenyl)-tetrahydro-",INNOVATOR.csv,INNOVATOR,9.03765,155,9.016,83,12265.913370653438
"Vanillin, TBDMS derivative",INNOVATOR.csv,INNOVATOR,9.18876666666667,161,9.196,72,137574.1633922749
Benzaldehyde,INNOVATOR.csv,INNOVATOR,9.31738333333333,165,9.322,85,3976.8186822492353
Dimethyl trisulfide,INNOVATOR.csv,INNOVATOR,9.52638333333333,172,9.542,79,274373.8122567187
1-Octyn-3-ol,INNOVATOR.csv,INNOVATOR,9.6968,177,9.69,56,7688.706889066332
Phenol,INNOVATOR.csv,INNOVATOR,9.74825,179,9.751,43,21112.62667377267
"5-Hepten-2-one, 6-methyl-",INNOVATOR.csv,INNOVATOR,9.87365,184,9.883,94,885668.6138244097
"Furan, 2-pentyl-",INNOVATOR.csv,INNOVATOR,9.97331666666667,188,9.986,43,162836.86240525043
"Butanoic acid, butyl ester",INNOVATOR.csv,INNOVATOR,10.0472666666667,190,10.038,123,15794.713318207048
"Cyclotetrasiloxane, octamethyl-",INNOVATOR.csv,INNOVATOR,10.0955,192,10.089,281,4589236.399064641
Octanal,INNOVATOR.csv,INNOVATOR,10.1951833333333,195,10.179,59,28333.822541986057
"1-Pentanol, 2-methyl-, acetate",INNOVATOR.csv,INNOVATOR,10.39775,200,10.381,57,63663.59120214515
4-Cyanocyclohexene,INNOVATOR.csv,INNOVATOR,10.5295833333333,203,10.516,110,3860.561118382309
"1-Hexanol, 2-ethyl-",INNOVATOR.csv,INNOVATOR,10.6967833333333,209,10.699,92,12847.20118998809
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,11.02795,220,11.01,56,10166.315690278272
"Undecane, 2-methyl-",INNOVATOR.csv,INNOVATOR,11.25625,228,11.26,57,100320.22762715654
"Octane, 1-chloro-",INNOVATOR.csv,INNOVATOR,11.3237666666667,230,11.337,91,141017.33651135178
.gamma.-Chlorobutyrophenone,INNOVATOR.csv,INNOVATOR,11.464465749342,233,11.452,69,70203.25320792902
"Trichloroacetic acid, undecyl ester",INNOVATOR.csv,INNOVATOR,11.6485166666667,240,11.643,107,6410.569839607189
"1-Heptanol, 2,4-diethyl-",INNOVATOR.csv,INNOVATOR,11.7224666666667,242,11.737,43,31788.13411029564
Linalool,INNOVATOR.csv,INNOVATOR,12.0054333333333,250,11.999,105,208792.7116334622
Nonanal,INNOVATOR.csv,INNOVATOR,12.0793833333333,253,12.102,57,16183886.577815669
"10-Undecenoic acid, methyl ester",INNOVATOR.csv,INNOVATOR,12.2498,256,12.247,124,48280.00050555017
"Octanoic acid, methyl ester",INNOVATOR.csv,INNOVATOR,12.4041333333333,260,12.401,98,18199.92219940608
"2-Undecanethiol, 2-methyl-",INNOVATOR.csv,INNOVATOR,12.49095,263,12.481,41,19643.743681202523
"Octadecane, 1-(ethenyloxy)-",INNOVATOR.csv,INNOVATOR,12.5584666666667,266,12.578,43,53769.16751806939
"1-Dodecanol, 3,7,11-trimethyl-",INNOVATOR.csv,INNOVATOR,12.7256666666667,270,12.742,69,77637.47191771903
2-[(Trimethylsilyl)oxy]-2-{4-[(trimethylsilyl)oxy]phenyl}ethanamine,INNOVATOR.csv,INNOVATOR,12.8607166666667,273,12.851,70,88997.99398205655
"2-Nonenal, (E)-",INNOVATOR.csv,INNOVATOR,13.0054,278,12.996,56,9881.589081765862
"Decane, 1-chloro-",INNOVATOR.csv,INNOVATOR,13.0632833333333,280,13.067,105,71429.87492968669
"Benzofuran, 4,5,6,7-tetrahydro-3,6-dimethyl-",INNOVATOR.csv,INNOVATOR,13.09865,281,13.095,77,104346.77702479916
Dodecanal,INNOVATOR.csv,INNOVATOR,13.1533,283,13.15,105,78051.68299856223
"1,2-15,16-Diepoxyhexadecane",INNOVATOR.csv,INNOVATOR,13.26585,287,13.269,76,37908.01581061992
14-Pentadecenoic acid,INNOVATOR.csv,INNOVATOR,13.3783833333333,291,13.391,122,125967.89929173944
"1-Hexadecanol, 2-methyl-",INNOVATOR.csv,INNOVATOR,13.4716333333333,293,13.472,109,13650.561840900864
.alpha.-Terpineol,INNOVATOR.csv,INNOVATOR,13.5520166666667,296,13.562,72,93478.43518593404
Dodecane,INNOVATOR.csv,INNOVATOR,13.5970333333333,297,13.587,59,57476.87880642426
Decanal,INNOVATOR.csv,INNOVATOR,13.70635,300,13.703,120,17468.96146850621
"1-Hexadecanol, 2-methyl-",INNOVATOR.csv,INNOVATOR,13.8188833333333,303,13.812,101,3761.70738144157
"2-Octene, 4-ethyl-",INNOVATOR.csv,INNOVATOR,13.8671166666667,305,13.883,55,170626.81533741168
"Dodecanoic acid, 3-hydroxy-",INNOVATOR.csv,INNOVATOR,14.0439666666667,310,14.044,105,90785.01893083742
"1,2-Benzisothiazole",INNOVATOR.csv,INNOVATOR,14.1275666666667,313,14.134,97,61621.07807408787
Neodecanoic acid,INNOVATOR.csv,INNOVATOR,14.2272333333333,316,14.224,102,238081.96004408025
"Butanoic acid, 2-ethyl-2,3,3-trimethyl-",INNOVATOR.csv,INNOVATOR,14.3353179366634,320,14.343,71,94359.76498147612
"Benzene, 1,4-dimethyl-2,5-bis(1-methylethyl)-",INNOVATOR.csv,INNOVATOR,14.48125,325,14.488,113,20551.52729367241
"Dodecanoic acid, 3-hydroxy-",INNOVATOR.csv,INNOVATOR,14.5487666666667,327,14.53,73,22576.63659480349
Neodecanoic acid,INNOVATOR.csv,INNOVATOR,14.6098666666667,330,14.607,60,39962.36354098698
"Butanoic acid, 2-ethyl-2,3,3-trimethyl-",INNOVATOR.csv,INNOVATOR,14.6773833333333,333,14.681,102,62741.88452813427
"Butanoic acid, 2-ethyl-2,3,3-trimethyl-",INNOVATOR.csv,INNOVATOR,14.7159666666667,334,14.71,87,486622.5316115672
Phytol,INNOVATOR.csv,INNOVATOR,14.7706333333333,335,14.758,102,447658.14773614367
"1,2-Dichlorooctane",INNOVATOR.csv,INNOVATOR,14.9314,340,14.925,77,30273.30501464032
"[1,1'-Bicyclopentyl]-2-one",INNOVATOR.csv,INNOVATOR,14.9892666666667,342,15.002,58,103961.10822011484
Tridecane,INNOVATOR.csv,INNOVATOR,15.0407166666667,343,15.031,55,141846.45482611528
Undecanal,INNOVATOR.csv,INNOVATOR,15.1661166666667,347,15.163,105,22298.871517061576
"1-Hexadecanol, 2-methyl-",INNOVATOR.csv,INNOVATOR,15.2722333333333,350,15.266,43,129342.15325618858
"Silane, [[3,3-dimethyl-4-methylene-2-(trimethylsilyl)-1-cyclopenten-1-yl]methoxy]trimethyl-",INNOVATOR.csv,INNOVATOR,15.3686833333333,353,15.359,81,79109.13952259725
Octadecane,INNOVATOR.csv,INNOVATOR,15.4104833333333,355,15.411,69,59530.53038371432
Methyl 8-oxooctanoate,INNOVATOR.csv,INNOVATOR,15.5037333333333,358,15.494,87,20671.96177600164
"Eicosane, 10-methyl-",INNOVATOR.csv,INNOVATOR,15.52945,359,15.523,129,41901.84601364123
"Dodecane, 2-methyl-",INNOVATOR.csv,INNOVATOR,15.63235,363,15.632,76,36784.42474426532
"1-Hexadecanol, 2-methyl-",INNOVATOR.csv,INNOVATOR,15.6709333333333,364,15.665,71,52442.99590629403
Nerolidyl propionate,INNOVATOR.csv,INNOVATOR,15.71595,365,15.7,43,43633.87486933537
"2,6,6,10-Tetramethyl-undeca-8,10-diene-3,7-dione",INNOVATOR.csv,INNOVATOR,15.7641666666667,366,15.742,145,34155.05457225703
"2-Tridecenal, (E)-",INNOVATOR.csv,INNOVATOR,15.9410166666667,373,15.938,85,136841.11420214394
"Eicosane, 10-methyl-",INNOVATOR.csv,INNOVATOR,15.9860333333333,374,15.967,57,256951.18919745175
"Cyclopentadecanone, 2-hydroxy-",INNOVATOR.csv,INNOVATOR,16.0342666666667,375,16.015,77,210029.7756513754
"Octanoic acid, 2-dimethylaminoethyl ester",INNOVATOR.csv,INNOVATOR,16.13715,379,16.144,43,281373.6314464312
E-15-Heptadecenal,INNOVATOR.csv,INNOVATOR,16.2657666666667,383,16.259,74,44488.75084794964
2-Dodecanone,INNOVATOR.csv,INNOVATOR,16.3204333333333,385,16.314,154,321637.7331167026
Tetradecane,INNOVATOR.csv,INNOVATOR,16.3622333333333,386,16.349,58,178077.7417210508
Tetradecanal,INNOVATOR.csv,INNOVATOR,16.5069166666667,390,16.481,145,20653.165642921354
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",INNOVATOR.csv,INNOVATOR,16.5873,393,16.591,84,47080.52875379733
"3-Eicosene, (E)-",INNOVATOR.csv,INNOVATOR,16.72235,397,16.706,74,2593.562518155917
"1-Dodecanol, 3,7,11-trimethyl-",INNOVATOR.csv,INNOVATOR,16.8134897661926,401,16.825,105,17045.004244584314
11-Methyldodecanol,INNOVATOR.csv,INNOVATOR,16.9249166666667,405,16.931,74,370135.93338229135
"1-Dodecanol, 3,7,11-trimethyl-",INNOVATOR.csv,INNOVATOR,16.9795833333333,407,16.989,167,148977.8469473895
"Naphthalene, 1,3-dimethyl-",INNOVATOR.csv,INNOVATOR,17.0824666666667,410,17.073,55,679408.2032383223
