Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity,norm_name,is_aroma
Acetic acid,INNOVATOR.csv,INNOVATOR,2.45903333333333,20,2.447,40,35781.96431331697,aceticacidethenylester,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,2.89953333333333,32,2.895,44,2622110.3838739144,butanal3methyl,True
"2-Propanone, 1-methoxy-",INNOVATOR.csv,INNOVATOR,2.98313333333333,35,2.98,78,4039374.3219340793,propane2chloro2methyl,True
Hexanol,INNOVATOR.csv,INNOVATOR,3.15998333333333,40,3.143,86,3627.349837571408,cyclohexaneoctyl,True
"2,3-Pentanedione",INNOVATOR.csv,INNOVATOR,3.20821666666667,42,3.201,57,48751.29613871125,23pentanedione,True
"2,3-Pentanedione",INNOVATOR.csv,INNOVATOR,3.28216666666667,45,3.286,57,108609.3223155609,23pentanedione,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,3.90595,56,3.915,45,89970.51983069198,2pentanol4methyl,True
Ethyl hexanoate,INNOVATOR.csv,INNOVATOR,5.05705,83,5.07,55,15585.867395092811,2ethylhexylacrylate,True
Hexanal,INNOVATOR.csv,INNOVATOR,5.28533333333333,89,5.289,56,1400871.3177080057,hexanal,True
Furfural,INNOVATOR.csv,INNOVATOR,6.20490173251373,98,6.221,39,59684.38021374173,furfural,True
"2,6-Dimethylpyrazine",INNOVATOR.csv,INNOVATOR,6.39785,102,6.405,70,21631.956869250116,24dimethyl1heptene,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,6.98625,112,7.002,85,41573.26176127483,octane4methyl,True
Heptanal,INNOVATOR.csv,INNOVATOR,7.93478333333333,131,7.933,56,19049.228953403985,heptanal,True
Methional,INNOVATOR.csv,INNOVATOR,8.05053333333333,133,8.094,109,3812.526556066033,methional,True
Benzaldehyde,INNOVATOR.csv,INNOVATOR,9.31738333333333,165,9.322,85,3976.8186822492353,benzaldehyde,True
Dimethyl trisulfide,INNOVATOR.csv,INNOVATOR,9.52638333333333,172,9.542,79,274373.8122567187,dimethyltrisulfide,True
1-Octen-3-ol,INNOVATOR.csv,INNOVATOR,9.6968,177,9.69,56,7688.706889066332,1octyn3ol,True
Hexanol,INNOVATOR.csv,INNOVATOR,9.74825,179,9.751,43,21112.62667377267,phenol,True
Butanoic acid,INNOVATOR.csv,INNOVATOR,10.0472666666667,190,10.038,123,15794.713318207048,butanoicacidbutylester,True
Octanal,INNOVATOR.csv,INNOVATOR,10.1951833333333,195,10.179,59,28333.822541986057,octanal,True
Ethyl acetate,INNOVATOR.csv,INNOVATOR,10.39775,200,10.381,57,63663.59120214515,1pentanol2methylacetate,True
Hexanol,INNOVATOR.csv,INNOVATOR,10.6967833333333,209,10.699,92,12847.20118998809,1hexanol2ethyl,True
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,11.02795,220,11.01,56,10166.315690278272,benzeneacetaldehyde,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,11.25625,228,11.26,57,100320.22762715654,undecane2methyl,True
Octanal,INNOVATOR.csv,INNOVATOR,11.3237666666667,230,11.337,91,141017.33651135178,octane1chloro,True
1-Heptanol,INNOVATOR.csv,INNOVATOR,11.7224666666667,242,11.737,43,31788.13411029564,1heptanol24diethyl,True
Nonanal,INNOVATOR.csv,INNOVATOR,12.0793833333333,253,12.102,57,16183886.577815669,nonanal,True
Octanoic acid,INNOVATOR.csv,INNOVATOR,12.4041333333333,260,12.401,98,18199.92219940608,octanoicacidmethylester,True
Nonanal,INNOVATOR.csv,INNOVATOR,13.0054,278,12.996,56,9881.589081765862,2nonenal(e),True
Decanal,INNOVATOR.csv,INNOVATOR,13.0632833333333,280,13.067,105,71429.87492968669,decane1chloro,True
Decanal,INNOVATOR.csv,INNOVATOR,13.1533,283,13.15,105,78051.68299856223,dodecanal,True
Octanoic acid,INNOVATOR.csv,INNOVATOR,13.3783833333333,291,13.391,122,125967.89929173944,14pentadecenoicacid,True
Decanal,INNOVATOR.csv,INNOVATOR,13.5970333333333,297,13.587,59,57476.87880642426,dodecane,True
Decanal,INNOVATOR.csv,INNOVATOR,13.70635,300,13.703,120,17468.96146850621,decanal,True
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.0439666666667,310,14.044,105,90785.01893083742,dodecanoicacid3hydroxy,True
2-Methylthiazole,INNOVATOR.csv,INNOVATOR,14.1275666666667,313,14.134,97,61621.07807408787,12benzisothiazole,True
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.2272333333333,316,14.224,102,238081.96004408025,neodecanoicacid,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,14.3353179366634,320,14.343,71,94359.76498147612,butanoicacid2ethyl233trimethyl,True
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.5487666666667,327,14.53,73,22576.63659480349,dodecanoicacid3hydroxy,True
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.6098666666667,330,14.607,60,39962.36354098698,neodecanoicacid,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,14.6773833333333,333,14.681,102,62741.88452813427,butanoicacid2ethyl233trimethyl,True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,14.7159666666667,334,14.71,87,486622.5316115672,butanoicacid2ethyl233trimethyl,True
1-Phenylethanol,INNOVATOR.csv,INNOVATOR,14.7706333333333,335,14.758,102,447658.14773614367,phytol,True
Decanal,INNOVATOR.csv,INNOVATOR,15.0407166666667,343,15.031,55,141846.45482611528,tridecane,True
Decanal,INNOVATOR.csv,INNOVATOR,15.1661166666667,347,15.163,105,22298.871517061576,undecanal,True
3-Octanone,INNOVATOR.csv,INNOVATOR,15.4104833333333,355,15.411,69,59530.53038371432,octadecane,True
Methyl butanoate,INNOVATOR.csv,INNOVATOR,15.5037333333333,358,15.494,87,20671.96177600164,methyl8oxooctanoate,True
Ethyl propanoate,INNOVATOR.csv,INNOVATOR,15.71595,365,15.7,43,43633.87486933537,nerolidylpropionate,True
"2,4-Decadienal",INNOVATOR.csv,INNOVATOR,15.9410166666667,373,15.938,85,136841.11420214394,2tridecenal(e),True
Heptanal,INNOVATOR.csv,INNOVATOR,16.2657666666667,383,16.259,74,44488.75084794964,e15heptadecenal,True
3-Octanone,INNOVATOR.csv,INNOVATOR,16.3204333333333,385,16.314,154,321637.7331167026,2dodecanone,True
Tetramethylpyrazine,INNOVATOR.csv,INNOVATOR,16.3622333333333,386,16.349,58,178077.7417210508,tetradecane,True
Decanal,INNOVATOR.csv,INNOVATOR,16.5069166666667,390,16.481,145,20653.165642921354,tetradecanal,True
2-Methyl-1-propanol,INNOVATOR.csv,INNOVATOR,16.9249166666667,405,16.931,74,370135.93338229135,11methyldodecanol,True
Methanethiol,INNOVATOR.csv,INNOVATOR,17.2336,417,17.24,194,214403.7054344648,terthexadecanethiol,True
Methanethiol,INNOVATOR.csv,INNOVATOR,17.45545,425,17.465,113,282289.7688958259,terthexadecanethiol,True
Pentanal,INNOVATOR.csv,INNOVATOR,17.5905,429,17.574,281,2605177.156427811,pentadecane,True
Hexanoic acid,INNOVATOR.csv,INNOVATOR,17.7577,434,17.748,168,19578.30529196006,e15heptadecenoicacid,True
Methanethiol,INNOVATOR.csv,INNOVATOR,18.031,442,18.028,59,35844.61809025122,terthexadecanethiol,True
1-Heptanol,INNOVATOR.csv,INNOVATOR,18.9313,472,18.925,177,138704.71598940002,13heptadecyn1ol,True
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,19.1821,480,19.201,232,71935.28206362313,benzene(1pentylhexyl),True
Acetophenone,INNOVATOR.csv,INNOVATOR,19.3139333333333,484,19.314,57,94851.9452069487,benzophenone,True
Methanethiol,INNOVATOR.csv,INNOVATOR,19.63225,495,19.625,77,407154.5694073677,terthexadecanethiol,True
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,19.9795,507,19.971,55,39641.43697246815,benzene(1methyldecyl),True
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,20.6097166666667,529,20.612,43,159608.8005869812,heptadecane3methyl,True
"Butanal, 3-methyl-",JAERLA.csv,JAERLA,2.8996,32,2.895,44,3438937.175121469,butanal3methyl,True
Hexanal,JAERLA.csv,JAERLA,5.28216666666667,89,5.289,56,1453263.770499932,hexanal,True
Heptanal,JAERLA.csv,JAERLA,7.93483333333333,131,7.933,56,23735.858926349552,heptanal,True
Benzaldehyde,JAERLA.csv,JAERLA,9.31743333333333,165,9.322,85,8447.617971994187,benzaldehyde,True
Dimethyl trisulfide,JAERLA.csv,JAERLA,9.52643333333333,172,9.542,79,307176.9182396139,dimethyltrisulfide,True
Octanal,JAERLA.csv,JAERLA,10.1952333333333,195,10.179,59,38198.688239576,octanal,True
Hexanol,JAERLA.csv,JAERLA,10.6968333333333,209,10.699,92,12651.361380784096,1hexanol2ethyl,True
Nonanal,JAERLA.csv,JAERLA,12.0794333333333,253,12.102,57,15564255.097451286,nonanal,True
Decanal,JAERLA.csv,JAERLA,13.7064,300,13.703,120,16099.406969486416,decanal,True
Acetophenone,JAERLA.csv,JAERLA,16.2561666666667,383,16.259,74,76493.88441397858,copaene,True
Acetophenone,JAERLA.csv,JAERLA,19.3139833333333,484,19.314,57,55056.187305570806,benzophenone,True
"2-Propanone, 1-methoxy-",SARPO MIRA.csv,SARPO MIRA,2.1859,10,2.183,45,14375061.237553507,2propanone1methoxy,True
"Butanal, 3-methyl-",SARPO MIRA.csv,SARPO MIRA,2.90291666666667,32,2.895,44,1939287.6256000048,butanal3methyl,True
Hexanal,SARPO MIRA.csv,SARPO MIRA,5.2855,89,5.289,56,2147331.2966654133,hexanal,True
Benzaldehyde,SARPO MIRA.csv,SARPO MIRA,9.31755,165,9.322,85,5594.340310876201,benzaldehyde,True
Dimethyl trisulfide,SARPO MIRA.csv,SARPO MIRA,9.52655,172,9.542,79,213085.7942224873,dimethyltrisulfide,True
Octanal,SARPO MIRA.csv,SARPO MIRA,10.19535,195,10.179,59,24853.60382108556,octanal,True
Hexanol,SARPO MIRA.csv,SARPO MIRA,10.6969333333333,209,10.699,92,13175.591561104844,1hexanol2ethyl,True
Acetophenone,SARPO MIRA.csv,SARPO MIRA,11.4557666666667,233,11.452,69,94318.38014044342,acetophenone,True
Nonanal,SARPO MIRA.csv,SARPO MIRA,12.0795333333333,253,12.102,57,14783528.673233343,nonanal,True
Decanal,SARPO MIRA.csv,SARPO MIRA,13.5971833333333,297,13.587,59,59474.168007120126,dodecane,True
Decanal,SARPO MIRA.csv,SARPO MIRA,13.7065166666667,300,13.703,120,21567.221484534635,decanal,True
Decanal,SARPO MIRA.csv,SARPO MIRA,15.0408833333333,343,15.031,55,84908.59983969541,tridecane,True
Tetramethylpyrazine,SARPO MIRA.csv,SARPO MIRA,16.3624,386,16.349,58,186633.90228403592,tetradecane,True
1-Octen-3-ol,SARPO MIRA.csv,SARPO MIRA,18.6710166666667,463,18.668,135,8307.107078917588,1octadecanol,True
Acetophenone,SARPO MIRA.csv,SARPO MIRA,19.3108666666667,484,19.314,57,90482.54173586184,benzophenone,True
"2-Propanone, 1-methoxy-",VAN GOGH.csv,VAN GOGH,2.18268333333333,10,2.183,45,14184126.209400592,2propanone1methoxy,True
"Butanal, 3-methyl-",VAN GOGH.csv,VAN GOGH,2.89648333333333,32,2.895,44,3483484.7293287795,butanal3methyl,True
Benzaldehyde,VAN GOGH.csv,VAN GOGH,9.31111666666667,165,9.322,85,11230.323963571636,benzaldehyde,True
Dimethyl trisulfide,VAN GOGH.csv,VAN GOGH,9.52333333333333,172,9.542,79,250608.92058278635,dimethyltrisulfide,True
Hexanol,VAN GOGH.csv,VAN GOGH,9.73875,179,9.751,43,38716.635929969554,phenol,True
Octanal,VAN GOGH.csv,VAN GOGH,10.1957364362022,195,10.179,59,37029.37247315348,octanal,True
Hexanol,VAN GOGH.csv,VAN GOGH,10.6969333333333,209,10.699,92,11235.869611745236,1hexanol2ethyl,True
Acetophenone,VAN GOGH.csv,VAN GOGH,11.4493333333333,233,11.452,69,63046.087673549,acetophenone,True
Nonanal,VAN GOGH.csv,VAN GOGH,12.0795333333333,253,12.102,57,13145967.70038934,nonanal,True
Hexanoic acid,VAN GOGH.csv,VAN GOGH,13.3367333333333,290,13.349,105,2226235.6843353924,benzoicacid,True
Decanal,VAN GOGH.csv,VAN GOGH,13.5939666666667,297,13.587,59,70109.85703466453,dodecane,True
Decanal,VAN GOGH.csv,VAN GOGH,13.7065,300,13.703,120,23603.358244881994,decanal,True
Decanal,VAN GOGH.csv,VAN GOGH,15.0376666666667,343,15.031,55,118136.55663003362,tridecane,True
Tetramethylpyrazine,VAN GOGH.csv,VAN GOGH,16.3623833333333,386,16.349,58,191217.108261658,tetradecane,True
Phenylacetaldehyde,VAN GOGH.csv,VAN GOGH,18.15655,446,18.134,76,453642.7254843082,phenylmaleicanhydride,True
Acetophenone,VAN GOGH.csv,VAN GOGH,19.3108666666667,484,19.314,57,124926.50961257816,benzophenone,True
Propanal,ALTUS.csv,ALTUS,2.01306687810509,4,2.012,64,1541550.2587224066,propene,True
"2-Propanone, 1-methoxy-",ALTUS.csv,ALTUS,2.18143446042587,10,2.183,45,14863776.17511903,2propanone1methoxy,True
Isoamyl acetate,ALTUS.csv,ALTUS,2.46346479897378,21,2.473,43,3670501.100114468,ammoniumacetate,True
Hexanol,ALTUS.csv,ALTUS,2.52017328481791,22,2.518,45,3812744.494172588,nhexane,True
"Butanal, 3-methyl-",ALTUS.csv,ALTUS,2.61178585560923,26,2.625,132,1707214.5216794591,furan3methyl,True
"Butanal, 3-methyl-",ALTUS.csv,ALTUS,2.89960413096503,32,2.895,44,1298481.884573833,butanal3methyl,True
Benzeneacetaldehyde,ALTUS.csv,ALTUS,7.14576796869927,115,7.167,91,112599.08113767626,benzene13dimethyl,True
1-Phenylethanol,ALTUS.csv,ALTUS,7.33419499326027,117,7.289,51,9139.750036721663,phenylethyne,True
Heptanal,ALTUS.csv,ALTUS,7.9374949950859,131,7.933,56,16248.018067807556,heptanal,True
Acetophenone,ALTUS.csv,ALTUS,9.06316743570531,156,9.061,191,41127.67870842681,camphene,True
Benzaldehyde,ALTUS.csv,ALTUS,9.31351093984436,165,9.322,85,5048.052348163071,benzaldehyde,True
Dimethyl trisulfide,ALTUS.csv,ALTUS,9.52562455499367,172,9.542,79,190475.0056067249,dimethyltrisulfide,True
Hexanol,ALTUS.csv,ALTUS,9.74478290372598,179,9.751,43,61235.01668739508,phenol,True
Decanal,ALTUS.csv,ALTUS,10.1239193755205,193,10.118,191,483650.9613730879,decane,True
Octanal,ALTUS.csv,ALTUS,10.1948648561994,195,10.179,59,63503.766597703,octanal,True
3-Octanone,ALTUS.csv,ALTUS,10.3718018395643,200,10.381,57,59892.55256849311,3carene,True
Hexanol,ALTUS.csv,ALTUS,10.6965135509653,209,10.699,92,26685.712718861352,1hexanol2ethyl,True
Acetophenone,ALTUS.csv,ALTUS,11.4482083699685,233,11.452,69,92565.44140420192,acetophenone,True
Nonanal,ALTUS.csv,ALTUS,12.077816782362,253,12.102,57,12705775.21942954,nonanal,True
1-Nonanol,ALTUS.csv,ALTUS,12.5559269036266,266,12.578,43,65542.75138970584,1nonanol,True
Decanal,ALTUS.csv,ALTUS,13.1533440808007,283,13.15,105,95777.81786956172,decanal,True
Decanal,ALTUS.csv,ALTUS,13.5952497024413,297,13.587,59,146080.4830783643,dodecane,True
Hexanoic acid,ALTUS.csv,ALTUS,13.6413443944205,299,13.649,105,8949611.914500942,benzoicacid,True
Decanal,ALTUS.csv,ALTUS,13.7085511637286,300,13.703,120,59860.761168476034,decanal,True
"2,4-Decadienal",ALTUS.csv,ALTUS,14.5457929928984,327,14.53,73,54876.73668398424,2decenal(e),True
Decanal,ALTUS.csv,ALTUS,15.0381787690657,343,15.031,55,100650.5724539937,tridecane,True
Tetramethylpyrazine,ALTUS.csv,ALTUS,16.3604437719113,386,16.349,58,190418.64812487637,tetradecane,True
Methyl butanoate,ALTUS.csv,ALTUS,17.164256846462,414,17.16,115,36202.17930123911,dimethylphthalate,True
Decanal,ALTUS.csv,ALTUS,17.2943025276369,419,17.295,104,44733.83501490679,ntridecan1ol,True
